組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
060B60100	東北物流課	総受注高	0.0	0.0		
060B60100	東北物流課	受注高	0.0	0.0		
060B60100	東北物流課	受注割戻高	0.0	0.0		
060B60100	東北物流課	総売上高	0.0	0.0		
060B60100	東北物流課	売上高	0.0	0.0		
060B60100	東北物流課	売上割戻高	0.0	0.0		
060B60100	東北物流課	売上原価	0.0	0.0		
060B60100	東北物流課	売上原価（割戻前）	0.0	0.0		
060B60100	東北物流課	仕入割戻高	0.0	0.0		
060B60100	東北物流課	総収益	0.0	0.0		
060B60100	東北物流課	経費合計	0.0	0.0		
060B60100	東北物流課	減価償却費	74363.0	74365.0	99.9	61.6
060B60100	東北物流課	車両費	3727365.0	3779300.0	98.6	104.4
060B60100	東北物流課	旅費交通費	25000.0	30000.0	83.3	323.3
060B60100	東北物流課	荷造運搬費	2371.0	1600.0	148.1	72.6
060B60100	東北物流課	通信費	276079.0	278758.0	99.0	107.2
060B60100	東北物流課	水道光熱費	435657.0	444500.0	98.0	82.7
060B60100	東北物流課	事務用品費	198573.0	209400.0	94.8	92.4
060B60100	東北物流課	消耗品費	466957.0	461700.0	101.1	72.3
060B60100	東北物流課	廃棄物処理料	106594.0	114100.0	93.4	115.2
060B60100	東北物流課	広告宣伝費	0.0	0.0		
060B60100	東北物流課	接待交際費	2160.0	0.0		
060B60100	東北物流課	研究開発費	0.0	0.0		
060B60100	東北物流課	賃借料	2645386.0	2645456.0	99.9	105.2
060B60100	東北物流課	賃貸料収入	0.0	0.0		
060B60100	東北物流課	修繕費	171531.0	166807.0	102.8	208.3
060B60100	東北物流課	支払リース料	84091.0	84093.0	99.9	98.3
060B60100	東北物流課	保険料	40323.0	40263.0	100.1	102.6
060B60100	東北物流課	支払報酬	0.0	0.0		
060B60100	東北物流課	販売手数料	0.0	0.0		
060B60100	東北物流課	支払手数料	40749.0	40749.0	100.0	87.6
060B60100	東北物流課	診断料	0.0	0.0		
060B60100	東北物流課	諸会費	63010.0	63010.0	100.0	96.7
060B60100	東北物流課	会議費	0.0	0.0		
060B60100	東北物流課	寄付金	0.0	0.0		
060B60100	東北物流課	租税公課	167226.0	167227.0	99.9	87.3
060B60100	東北物流課	業務委託費	2408170.0	2625560.0	91.7	112.3
060B60100	東北物流課	業務受託収入	0.0	0.0		
060B60100	東北物流課	システム管理料	0.0	0.0		
060B60100	東北物流課	情報機器利用料	2309172.0	2320200.0	99.5	86.0
060B60100	東北物流課	貸倒金	0.0	0.0		
060B60100	東北物流課	雑費	141278.0	141368.0	99.9	165.9
060B60100	東北物流課	福利消耗品費	117660.0	141660.0	83.0	260.6
060B60100	東北物流課	教育研修費	52360.0	53508.0	97.8	98.3
060B60100	東北物流課	廃棄損・減耗損	0.0	0.0		
060B60100	東北物流課	雑給	0.0	0.0		
060B60100	東北物流課	社内金利（固定資産）	49404.0	49464.0	99.8	81.2
060B60100	東北物流課	社内金利（売掛金）	0.0	0.0		
060B60100	東北物流課	社内金利（在庫）	0.0	0.0		
060B60100	東北物流課	部門共通（経費）	0.0	0.0		
060B60100	東北物流課	全社共通（経費）	-15556679.0	-15884288.0		
060B60100	東北物流課	グループ共通	1951200.0	1951200.0	100.0	98.0
060B60100	東北物流課	差引収益	0.0	0.0		
060B60100	東北物流課	差引比率	0.0	0.0		
060B60100	東北物流課	総時間	0.0	0.0		
060B60100	東北物流課	定時間	14931.75	15106.0	98.8	101.2
060B60100	東北物流課	残業時間	584.25	753.0	77.5	70.2
060B60100	東北物流課	移動時間	1040.0	1066.0	97.5	183.6
060B60100	東北物流課	部門共通（時間）	0.0	0.0		
060B60100	東北物流課	全社共通（時間）	-16556.0	-16925.0		
060B60100	東北物流課	当月時間当り	0.0	0.0		
060B60100	東北物流課	人員	6.0	8.0	75.0	75.0
