組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
230I60300	本社物流課	総受注高	0.0	0.0		
230I60300	本社物流課	受注高	0.0	0.0		
230I60300	本社物流課	受注割戻高	0.0	0.0		
230I60300	本社物流課	総売上高	0.0	0.0		
230I60300	本社物流課	売上高	0.0	0.0		
230I60300	本社物流課	売上割戻高	0.0	0.0		
230I60300	本社物流課	売上原価	0.0	0.0		
230I60300	本社物流課	売上原価（割戻前）	0.0	0.0		
230I60300	本社物流課	仕入割戻高	0.0	0.0		
230I60300	本社物流課	総収益	0.0	0.0		
230I60300	本社物流課	経費合計	0.0	0.0		
230I60300	本社物流課	減価償却費	37064.0	37068.0	99.9	59.9
230I60300	本社物流課	車両費	8457014.0	8550545.0	98.9	101.5
230I60300	本社物流課	旅費交通費	52000.0	52000.0	100.0	
230I60300	本社物流課	荷造運搬費	5938.0	1862.0	318.9	135.5
230I60300	本社物流課	通信費	148199.0	141746.0	104.5	77.3
230I60300	本社物流課	水道光熱費	61067.0	60710.0	100.5	50.0
230I60300	本社物流課	事務用品費	29105.0	27898.0	104.3	50.1
230I60300	本社物流課	消耗品費	610356.0	483814.0	126.1	162.7
230I60300	本社物流課	廃棄物処理料	25841.0	24000.0	107.6	49.0
230I60300	本社物流課	広告宣伝費	0.0	0.0		
230I60300	本社物流課	接待交際費	0.0	0.0		0.0
230I60300	本社物流課	研究開発費	0.0	0.0		
230I60300	本社物流課	賃借料	43200.0	43200.0	100.0	48.9
230I60300	本社物流課	賃貸料収入	0.0	0.0		
230I60300	本社物流課	修繕費	325760.0	28800.0		453.6
230I60300	本社物流課	支払リース料	6081.0	15792.0	38.5	53.6
230I60300	本社物流課	保険料	53570.0	53571.0	99.9	149.5
230I60300	本社物流課	支払報酬	0.0	0.0		
230I60300	本社物流課	販売手数料	0.0	0.0		
230I60300	本社物流課	支払手数料	29511.0	30452.0	96.9	78.7
230I60300	本社物流課	診断料	0.0	0.0		
230I60300	本社物流課	諸会費	0.0	0.0		
230I60300	本社物流課	会議費	0.0	0.0		
230I60300	本社物流課	寄付金	0.0	0.0		
230I60300	本社物流課	租税公課	3997.0	4092.0	97.6	283.0
230I60300	本社物流課	業務委託費	0.0	0.0		0.0
230I60300	本社物流課	業務受託収入	0.0	0.0		
230I60300	本社物流課	システム管理料	1110.0	0.0		
230I60300	本社物流課	情報機器利用料	1610400.0	1610400.0	100.0	111.8
230I60300	本社物流課	貸倒金	0.0	0.0		
230I60300	本社物流課	雑費	59764.0	52199.0	114.4	74.5
230I60300	本社物流課	福利消耗品費	93067.0	89920.0	103.4	77.1
230I60300	本社物流課	教育研修費	5352.0	44952.0	11.9	10.6
230I60300	本社物流課	廃棄損・減耗損	0.0	0.0		
230I60300	本社物流課	雑給	0.0	0.0		
230I60300	本社物流課	社内金利（固定資産）	33171.0	33561.0	98.8	84.8
230I60300	本社物流課	社内金利（売掛金）	0.0	0.0		
230I60300	本社物流課	社内金利（在庫）	0.0	0.0		
230I60300	本社物流課	部門共通（経費）	0.0	0.0		
230I60300	本社物流課	全社共通（経費）	-14129967.0	-13824982.0		
230I60300	本社物流課	グループ共通	2438400.0	2438400.0	100.0	98.0
230I60300	本社物流課	差引収益	0.0	0.0		
230I60300	本社物流課	差引比率	0.0	0.0		
230I60300	本社物流課	総時間	0.0	0.0		
230I60300	本社物流課	定時間	18374.75	20086.75	91.4	112.7
230I60300	本社物流課	残業時間	183.0	235.0	77.8	76.0
230I60300	本社物流課	移動時間	-17451.75	-17442.0		
230I60300	本社物流課	部門共通（時間）	0.0	0.0		
230I60300	本社物流課	全社共通（時間）	-1106.0	-2879.75		
230I60300	本社物流課	当月時間当り	0.0	0.0		
230I60300	本社物流課	人員	11.0	12.0	91.6	100.0
