組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
340A60200	管理課	総受注高	0.0	0.0		
340A60200	管理課	許諾料	0.0	0.0		
340A60200	管理課	穂木	0.0	0.0		
340A60200	管理課	ﾛｲﾔﾙﾃｨ	0.0	0.0		
340A60200	管理課	バラ	0.0	0.0		
340A60200	管理課	通信販売	0.0	0.0		
340A60200	管理課	セット苗	0.0	0.0		
340A60200	管理課	その他	0.0	0.0		
340A60200	管理課	総売上高	0.0	0.0		
340A60200	管理課	許諾料	0.0	0.0		
340A60200	管理課	穂木	0.0	0.0		
340A60200	管理課	ﾛｲﾔﾙﾃｨ	0.0	0.0		
340A60200	管理課	バラ	0.0	0.0		
340A60200	管理課	通信販売	0.0	0.0		
340A60200	管理課	セット苗	0.0	0.0		
340A60200	管理課	その他	0.0	0.0		
340A60200	管理課	社外売上	0.0	0.0		
340A60200	管理課	売上原価	0.0	0.0		
340A60200	管理課	穂木・苗仕入高	0.0	0.0		
340A60200	管理課	送料	0.0	0.0		
340A60200	管理課	その他	0.0	0.0		
340A60200	管理課	総生産	0.0	0.0		0.0
340A60200	管理課	社内売	0.0	0.0		0.0
340A60200	管理課	社内仕入	0.0	0.0		
340A60200	管理課	営業口銭	0.0	0.0		
340A60200	管理課	総収益	0.0	0.0		0.0
340A60200	管理課	経費合計	0.0	0.0		
340A60200	管理課	種苗費	0.0	0.0		
340A60200	管理課	肥料費	0.0	0.0		
340A60200	管理課	培土費用	0.0	0.0		
340A60200	管理課	農薬衛生費	0.0	0.0		
340A60200	管理課	農具費	0.0	0.0		
340A60200	管理課	諸材料費	0.0	0.0		
340A60200	管理課	その他仕入高	0.0	0.0		
340A60200	管理課	減価償却費	18966201.0	18966201.0	100.0	100.0
340A60200	管理課	車両費	714224.0	679844.0	105.0	104.8
340A60200	管理課	旅費交通費	1087995.0	1191000.0	91.3	60.9
340A60200	管理課	荷造運搬費	11289.0	0.0		471.7
340A60200	管理課	通信費	356983.0	397416.0	89.8	96.7
340A60200	管理課	水道光熱費	546964.0	616524.0	88.7	94.9
340A60200	管理課	動力費	0.0	0.0		
340A60200	管理課	燃料費	0.0	0.0		
340A60200	管理課	事務用品費	126517.0	126012.0	100.4	105.1
340A60200	管理課	消耗品費	45229.0	48000.0	94.2	94.4
340A60200	管理課	廃棄物処理料	20180.0	33512.0	60.2	68.0
340A60200	管理課	広告宣伝費	828696.0	614091.0	134.9	103.4
340A60200	管理課	接待交際費	122008.0	196000.0	62.2	62.1
340A60200	管理課	研究開発費	0.0	0.0		
340A60200	管理課	クレーム費	0.0	0.0		
340A60200	管理課	賃借料	2669005.0	2734392.0	97.6	100.2
340A60200	管理課	賃貸料収入	-241730.0	-240000.0		
340A60200	管理課	修繕費	0.0	0.0		0.0
340A60200	管理課	支払リース料	27102.0	13653.0	198.5	210.9
340A60200	管理課	保険料	61340.0	65680.0	93.3	30.2
340A60200	管理課	支払報酬	977718.0	788490.0	123.9	48.4
340A60200	管理課	販売手数料	0.0	0.0		
340A60200	管理課	支払手数料	1646358.0	1631434.0	100.9	90.1
340A60200	管理課	診断料	0.0	0.0		
340A60200	管理課	諸会費	255855.0	198242.0	129.0	117.2
340A60200	管理課	会議費	30500.0	30500.0	100.0	93.5
340A60200	管理課	寄付金	50000.0	50000.0	100.0	161.5
340A60200	管理課	租税公課	1560600.0	1734700.0	89.9	105.1
340A60200	管理課	業務委託費	0.0	0.0		0.0
340A60200	管理課	業務受託収入	0.0	0.0		
340A60200	管理課	システム管理料	2844000.0	2844000.0	100.0	94.4
340A60200	管理課	情報機器利用料	1682160.0	1682160.0	100.0	105.7
340A60200	管理課	貸倒金	0.0	0.0		
340A60200	管理課	雑費	104650.0	83261.0	125.6	125.4
340A60200	管理課	福利消耗品費	8812.0	20000.0	44.0	36.8
340A60200	管理課	教育研修費	14299.0	9600.0	148.9	40.9
340A60200	管理課	雑給	0.0	0.0		
340A60200	管理課	社内金利（固定資産）	57641.0	57558.0	100.1	124.7
340A60200	管理課	社内金利（売掛金）	0.0	0.0		
340A60200	管理課	部門共通（経費）	0.0	0.0		
340A60200	管理課	全社共通（経費）	-35335396.0	-35333070.0		
340A60200	管理課	グループ共通	760800.0	760800.0	100.0	127.3
340A60200	管理課	差引収益	0.0	0.0		0.0
340A60200	管理課	差引比率	0.0	0.0		0.0
340A60200	管理課	総時間	0.0	0.0		
340A60200	管理課	定時間	8057.0	7968.0	101.1	108.0
340A60200	管理課	残業時間	482.25	544.0	88.6	127.4
340A60200	管理課	移動時間	-843.0	-842.0		
340A60200	管理課	部門共通（時間）	0.0	0.0		
340A60200	管理課	全社共通（時間）	-7696.25	-7670.0		
340A60200	管理課	当月時間当り	0.0	0.0		
340A60200	管理課	人員	4.0	4.0	100.0	100.0
