組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
340A30110	苗販売課	総受注高	0.0	0.0		
340A30110	苗販売課	許諾料	0.0	0.0		
340A30110	苗販売課	穂木	0.0	0.0		
340A30110	苗販売課	ﾛｲﾔﾙﾃｨ	0.0	0.0		
340A30110	苗販売課	バラ	0.0	0.0		
340A30110	苗販売課	通信販売	0.0	0.0		
340A30110	苗販売課	セット苗	0.0	0.0		
340A30110	苗販売課	その他	0.0	0.0		
340A30110	苗販売課	総売上高	0.0	0.0		
340A30110	苗販売課	許諾料	0.0	0.0		
340A30110	苗販売課	穂木	0.0	0.0		
340A30110	苗販売課	ﾛｲﾔﾙﾃｨ	0.0	0.0		
340A30110	苗販売課	バラ	0.0	0.0		
340A30110	苗販売課	通信販売	0.0	0.0		
340A30110	苗販売課	セット苗	0.0	0.0		
340A30110	苗販売課	その他	0.0	0.0		
340A30110	苗販売課	社外売上	675671093.0	688000000.0	98.2	85.9
340A30110	苗販売課	売上原価	637789543.0	630736035.0	101.1	98.9
340A30110	苗販売課	穂木・苗仕入高	544883479.0	543571317.0	100.2	98.9
340A30110	苗販売課	送料	92973312.0	87164718.0	106.6	99.6
340A30110	苗販売課	その他	-67248.0	0.0		
340A30110	苗販売課	総生産	-7896398.0	-6172090.0		
340A30110	苗販売課	社内売	85080.0	0.0		1.4
340A30110	苗販売課	社内仕入	7981478.0	6172090.0	129.3	6.2
340A30110	苗販売課	営業口銭	-13510080.0	-13760000.0		
340A30110	苗販売課	総収益	16475072.0	37331875.0	44.1	141.7
340A30110	苗販売課	経費合計	3243576.0	3257296.0	99.5	99.6
340A30110	苗販売課	種苗費	0.0	0.0		
340A30110	苗販売課	肥料費	0.0	0.0		
340A30110	苗販売課	培土費用	0.0	0.0		
340A30110	苗販売課	農薬衛生費	0.0	0.0		
340A30110	苗販売課	農具費	0.0	0.0		
340A30110	苗販売課	諸材料費	0.0	0.0		0.0
340A30110	苗販売課	その他仕入高	0.0	0.0		
340A30110	苗販売課	減価償却費	33290.0	33290.0	100.0	121.7
340A30110	苗販売課	車両費	0.0	0.0		
340A30110	苗販売課	旅費交通費	0.0	0.0		
340A30110	苗販売課	荷造運搬費	884.0	0.0		
340A30110	苗販売課	通信費	159372.0	141144.0	112.9	107.8
340A30110	苗販売課	水道光熱費	297274.0	308244.0	96.4	103.2
340A30110	苗販売課	動力費	0.0	0.0		
340A30110	苗販売課	燃料費	0.0	0.0		
340A30110	苗販売課	事務用品費	53808.0	54900.0	98.0	104.3
340A30110	苗販売課	消耗品費	28129.0	24000.0	117.2	129.6
340A30110	苗販売課	廃棄物処理料	10500.0	16750.0	62.6	70.8
340A30110	苗販売課	広告宣伝費	500.0	0.0		
340A30110	苗販売課	接待交際費	0.0	0.0		
340A30110	苗販売課	研究開発費	0.0	0.0		
340A30110	苗販売課	クレーム費	0.0	0.0		
340A30110	苗販売課	賃借料	661908.0	661908.0	100.0	106.2
340A30110	苗販売課	賃貸料収入	0.0	0.0		
340A30110	苗販売課	修繕費	0.0	0.0		0.0
340A30110	苗販売課	支払リース料	6825.0	6825.0	100.0	106.3
340A30110	苗販売課	保険料	3828.0	3828.0	100.0	126.8
340A30110	苗販売課	支払報酬	0.0	0.0		
340A30110	苗販売課	販売手数料	0.0	0.0		
340A30110	苗販売課	支払手数料	90318.0	102724.0	87.9	95.1
340A30110	苗販売課	診断料	0.0	0.0		
340A30110	苗販売課	諸会費	750.0	625.0	120.0	127.5
340A30110	苗販売課	会議費	0.0	0.0		
340A30110	苗販売課	寄付金	0.0	0.0		0.0
340A30110	苗販売課	租税公課	0.0	0.0		0.0
340A30110	苗販売課	業務委託費	0.0	0.0		
340A30110	苗販売課	業務受託収入	0.0	0.0		
340A30110	苗販売課	システム管理料	0.0	0.0		
340A30110	苗販売課	情報機器利用料	452400.0	452400.0	100.0	111.2
340A30110	苗販売課	貸倒金	0.0	0.0		
340A30110	苗販売課	雑費	4431.0	8025.0	55.2	37.2
340A30110	苗販売課	福利消耗品費	553.0	10000.0	5.5	5.9
340A30110	苗販売課	教育研修費	1432.0	0.0		35.4
340A30110	苗販売課	雑給	0.0	0.0		
340A30110	苗販売課	社内金利（固定資産）	12235.0	28780.0	42.5	53.1
340A30110	苗販売課	社内金利（売掛金）	16545.0	0.0		
340A30110	苗販売課	部門共通（経費）	0.0	0.0		
340A30110	苗販売課	全社共通（経費）	1029394.0	1024653.0	100.4	93.9
340A30110	苗販売課	グループ共通	379200.0	379200.0	100.0	95.1
340A30110	苗販売課	差引収益	13231496.0	34074579.0	38.8	158.1
340A30110	苗販売課	差引比率	-167.5	-552.0		
340A30110	苗販売課	総時間	4095.75	4060.75	100.8	98.5
340A30110	苗販売課	定時間	3653.75	3660.0	99.8	98.7
340A30110	苗販売課	残業時間	232.25	180.0	129.0	91.6
340A30110	苗販売課	移動時間	0.0	0.0		
340A30110	苗販売課	部門共通（時間）	0.0	0.0		
340A30110	苗販売課	全社共通（時間）	209.75	220.75	95.0	104.3
340A30110	苗販売課	当月時間当り	3230.5	8391.2	38.4	160.4
340A30110	苗販売課	人員	2.0	2.0	100.0	100.0
