組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
004090200	本社収支	総受注高	0.0	0.0		0.0
004090200	本社収支	許諾料	0.0	0.0		
004090200	本社収支	穂木	0.0	0.0		
004090200	本社収支	ﾛｲﾔﾙﾃｨ	0.0	0.0		
004090200	本社収支	バラ	0.0	0.0		0.0
004090200	本社収支	通信販売	0.0	0.0		
004090200	本社収支	セット苗	0.0	0.0		
004090200	本社収支	その他	0.0	0.0		
004090200	本社収支	総売上高	722585.0	0.0		25.0
004090200	本社収支	許諾料	600000.0	0.0		48.5
004090200	本社収支	穂木	260962.0	0.0		35.5
004090200	本社収支	ﾛｲﾔﾙﾃｨ	267994.0	0.0		16.4
004090200	本社収支	バラ	0.0	0.0		0.0
004090200	本社収支	通信販売	0.0	0.0		
004090200	本社収支	セット苗	0.0	0.0		
004090200	本社収支	その他	-406371.0	0.0		
004090200	本社収支	社外売上	-64971518.0	0.0		
004090200	本社収支	売上原価	1621481.0	0.0		926.4
004090200	本社収支	穂木・苗仕入高	1621481.0	0.0		926.4
004090200	本社収支	送料	0.0	0.0		
004090200	本社収支	その他	0.0	0.0		
004090200	本社収支	総生産	50150.0	0.0		
004090200	本社収支	社内売	50150.0	0.0		
004090200	本社収支	社内仕入	0.0	0.0		
004090200	本社収支	営業口銭	3.0	0.0		
004090200	本社収支	総収益	-66542846.0	0.0		
004090200	本社収支	経費合計	-3904999.0	-7695692.0		
004090200	本社収支	種苗費	0.0	0.0		
004090200	本社収支	肥料費	0.0	0.0		
004090200	本社収支	培土費用	0.0	0.0		
004090200	本社収支	農薬衛生費	0.0	0.0		
004090200	本社収支	農具費	0.0	0.0		
004090200	本社収支	諸材料費	0.0	0.0		
004090200	本社収支	その他仕入高	0.0	0.0		
004090200	本社収支	減価償却費	4890663.0	0.0		
004090200	本社収支	車両費	0.0	0.0		
004090200	本社収支	旅費交通費	0.0	0.0		
004090200	本社収支	荷造運搬費	0.0	0.0		0.0
004090200	本社収支	通信費	0.0	0.0		
004090200	本社収支	水道光熱費	0.0	0.0		
004090200	本社収支	動力費	0.0	0.0		
004090200	本社収支	燃料費	0.0	0.0		
004090200	本社収支	事務用品費	0.0	0.0		
004090200	本社収支	消耗品費	0.0	0.0		
004090200	本社収支	廃棄物処理料	0.0	0.0		
004090200	本社収支	広告宣伝費	0.0	0.0		
004090200	本社収支	接待交際費	0.0	0.0		
004090200	本社収支	研究開発費	0.0	0.0		
004090200	本社収支	クレーム費	0.0	0.0		
004090200	本社収支	賃借料	0.0	0.0		
004090200	本社収支	賃貸料収入	0.0	0.0		
004090200	本社収支	修繕費	0.0	0.0		
004090200	本社収支	支払リース料	0.0	0.0		
004090200	本社収支	保険料	0.0	0.0		
004090200	本社収支	支払報酬	0.0	0.0		
004090200	本社収支	販売手数料	0.0	0.0		0.0
004090200	本社収支	支払手数料	0.0	0.0		
004090200	本社収支	診断料	0.0	0.0		
004090200	本社収支	諸会費	0.0	0.0		
004090200	本社収支	会議費	0.0	0.0		
004090200	本社収支	寄付金	0.0	0.0		
004090200	本社収支	租税公課	0.0	0.0		
004090200	本社収支	業務委託費	0.0	0.0		
004090200	本社収支	業務受託収入	0.0	0.0		
004090200	本社収支	システム管理料	0.0	0.0		
004090200	本社収支	情報機器利用料	0.0	0.0		
004090200	本社収支	貸倒金	0.0	0.0		
004090200	本社収支	雑費	0.0	0.0		
004090200	本社収支	福利消耗品費	0.0	0.0		
004090200	本社収支	教育研修費	0.0	0.0		
004090200	本社収支	雑給	0.0	0.0		
004090200	本社収支	社内金利（固定資産）	-6342137.0	-6710809.0		
004090200	本社収支	社内金利（売掛金）	-1058400.0	-984883.0		
004090200	本社収支	部門共通（経費）	-2640145.0	0.0		
004090200	本社収支	全社共通（経費）	1245020.0	0.0		
004090200	本社収支	グループ共通	0.0	0.0		
004090200	本社収支	差引収益	-62637847.0	7695692.0		
004090200	本社収支	差引比率	-8105.9	0.0		
004090200	本社収支	総時間	-3304.5	387.75		
004090200	本社収支	定時間	0.0	0.0		
004090200	本社収支	残業時間	0.0	0.0		
004090200	本社収支	移動時間	387.75	387.75	100.0	98.7
004090200	本社収支	部門共通（時間）	-4354.5	0.0		
004090200	本社収支	全社共通（時間）	662.25	0.0		
004090200	本社収支	当月時間当り	18955.3	19847.0	95.5	51.8
004090200	本社収支	人員	0.0	0.0		
