組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
006090200	本社収支	総受注高	0.0	0.0		
006090200	本社収支	総売上高	0.0	0.0		
006090200	本社収支	売上高	0.0	0.0		
006090200	本社収支	グループ売上高	0.0	0.0		
006090200	本社収支	社内売上高	0.0	0.0		
006090200	本社収支	販売奨励金	0.0	0.0		
006090200	本社収支	売上原価	0.0	0.0		
006090200	本社収支	仕入高	0.0	0.0		
006090200	本社収支	グループ仕入高	0.0	0.0		
006090200	本社収支	社内仕入高	0.0	0.0		
006090200	本社収支	荷造運搬費	0.0	0.0		
006090200	本社収支	販売手数料	0.0	0.0		
006090200	本社収支	総収益	0.0	0.0		
006090200	本社収支	経費合計	-3655685.0	-3700000.0		
006090200	本社収支	経費合計（原価）	0.0	0.0		
006090200	本社収支	種苗費*	0.0	0.0		
006090200	本社収支	肥料費*	0.0	0.0		
006090200	本社収支	培土費用*	0.0	0.0		
006090200	本社収支	農薬衛生費*	0.0	0.0		
006090200	本社収支	農具費*	0.0	0.0		
006090200	本社収支	諸材料費*	0.0	0.0		
006090200	本社収支	その他仕入高*	0.0	0.0		
006090200	本社収支	減価償却費*	0.0	0.0		
006090200	本社収支	車両費*	0.0	0.0		
006090200	本社収支	水道光熱費*	0.0	0.0		
006090200	本社収支	動力費*	0.0	0.0		
006090200	本社収支	燃料費*	0.0	0.0		
006090200	本社収支	賃借料*	0.0	0.0		
006090200	本社収支	修繕費*	0.0	0.0		
006090200	本社収支	診断料*	0.0	0.0		
006090200	本社収支	租税公課*	0.0	0.0		
006090200	本社収支	業務委託費*	0.0	0.0		
006090200	本社収支	雑費*	0.0	0.0		
006090200	本社収支	雑給*	0.0	0.0		
006090200	本社収支	経費合計（販管費）	-3655685.0	-3700000.0		
006090200	本社収支	減価償却費	0.0	0.0		
006090200	本社収支	車両費	0.0	0.0		
006090200	本社収支	旅費交通費	0.0	0.0		
006090200	本社収支	通信費	0.0	0.0		
006090200	本社収支	水道光熱費	0.0	0.0		
006090200	本社収支	事務用品費	0.0	0.0		
006090200	本社収支	消耗品費	0.0	0.0		
006090200	本社収支	廃棄物処理料	0.0	0.0		
006090200	本社収支	広告宣伝費	0.0	0.0		
006090200	本社収支	接待交際費	0.0	0.0		
006090200	本社収支	賃借料	0.0	0.0		
006090200	本社収支	賃貸料収入	0.0	0.0		
006090200	本社収支	修繕費	0.0	0.0		
006090200	本社収支	支払リース料	0.0	0.0		
006090200	本社収支	保険料	0.0	0.0		
006090200	本社収支	支払報酬	0.0	0.0		
006090200	本社収支	支払手数料	0.0	0.0		
006090200	本社収支	診断料	0.0	0.0		
006090200	本社収支	諸会費	0.0	0.0		
006090200	本社収支	会議費	0.0	0.0		
006090200	本社収支	寄付金	0.0	0.0		
006090200	本社収支	租税公課	0.0	0.0		
006090200	本社収支	業務委託費	0.0	0.0		
006090200	本社収支	業務受託収入	0.0	0.0		
006090200	本社収支	情報機器利用料	0.0	0.0		
006090200	本社収支	貸倒金	0.0	0.0		
006090200	本社収支	雑費	0.0	0.0		
006090200	本社収支	福利消耗品費	0.0	0.0		
006090200	本社収支	教育研修費	0.0	0.0		
006090200	本社収支	廃棄損	0.0	0.0		
006090200	本社収支	雑給	0.0	0.0		
006090200	本社収支	社内金利（固定資産）	-3655685.0	-3700000.0		
006090200	本社収支	社内金利（売掛金）	0.0	0.0		
006090200	本社収支	グループ共通	0.0	0.0		
006090200	本社収支	差引収益	3655685.0	3700000.0	98.8	95.1
006090200	本社収支	差引比率	0.0	0.0		
006090200	本社収支	総時間	82.5	64.5	127.9	48.6
006090200	本社収支	定時間	0.0	0.0		
006090200	本社収支	残業時間	0.0	0.0		
006090200	本社収支	移動時間	82.5	64.5	127.9	48.6
006090200	本社収支	当月時間当り	44311.3	57364.3	77.2	195.5
006090200	本社収支	人員	0.0	0.0		
