組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
001095100	不動産部門	総受注高	148330774.0	148269875.0	100.0	98.9
001095100	不動産部門	総売上高	148330774.0	148269875.0	100.0	98.9
001095100	不動産部門	売上高	49354774.0	49353875.0	100.0	99.2
001095100	不動産部門	グループ売上高	98976000.0	98916000.0	100.0	98.7
001095100	不動産部門	売上原価	0.0	0.0		
001095100	不動産部門	仕入高	0.0	0.0		
001095100	不動産部門	グループ仕入高	0.0	0.0		
001095100	不動産部門	総収益	148330774.0	148269875.0	100.0	98.9
001095100	不動産部門	経費合計	53414856.0	88490470.0	60.3	57.6
001095100	不動産部門	減価償却費	64059322.0	64011005.0	100.0	97.4
001095100	不動産部門	車両費	0.0	0.0		
001095100	不動産部門	旅費交通費	0.0	0.0		
001095100	不動産部門	荷造運搬費	0.0	0.0		
001095100	不動産部門	通信費	28355.0	29664.0	95.5	95.7
001095100	不動産部門	水道光熱費	1341465.0	1366323.0	98.1	102.8
001095100	不動産部門	動力費	0.0	0.0		
001095100	不動産部門	事務用品費	0.0	10000.0	0.0	
001095100	不動産部門	消耗品費	2960444.0	3221636.0	91.8	449.6
001095100	不動産部門	廃棄物処理料	0.0	32000.0	0.0	0.0
001095100	不動産部門	広告宣伝費	0.0	0.0		
001095100	不動産部門	接待交際費	0.0	0.0		
001095100	不動産部門	研究開発費	0.0	0.0		
001095100	不動産部門	賃借料	-31495412.0	-31395412.0		
001095100	不動産部門	賃貸料収入	-7449629.0	-7089629.0		
001095100	不動産部門	修繕費	8008753.0	12868060.0	62.2	45.4
001095100	不動産部門	支払リース料	633600.0	696960.0	90.9	120.0
001095100	不動産部門	保険料	3179350.0	3111240.0	102.1	104.9
001095100	不動産部門	支払報酬	0.0	0.0		
001095100	不動産部門	支払手数料	5067760.0	5022660.0	100.8	96.8
001095100	不動産部門	診断料	0.0	0.0		
001095100	不動産部門	諸会費	108400.0	108400.0	100.0	110.1
001095100	不動産部門	会議費	0.0	0.0		
001095100	不動産部門	寄付金	0.0	0.0		
001095100	不動産部門	租税公課	1133179.0	30592475.0	3.7	3.6
001095100	不動産部門	業務委託費	0.0	0.0		
001095100	不動産部門	業務受託収入	0.0	0.0		
001095100	不動産部門	システム管理料	0.0	0.0		
001095100	不動産部門	情報機器利用料	0.0	0.0		
001095100	不動産部門	雑費	5839269.0	5905088.0	98.8	118.5
001095100	不動産部門	福利消耗品費	0.0	0.0		
001095100	不動産部門	教育研修費	0.0	0.0		
001095100	不動産部門	雑給	0.0	0.0		
001095100	不動産部門	社内金利（固定資産）	0.0	0.0		
001095100	不動産部門	差引収益	94915918.0	59779405.0	158.7	165.4
001095100	不動産部門	差引比率	63.9	40.3	158.5	167.2
001095100	不動産部門	総時間	0.0	0.0		
001095100	不動産部門	定時間	0.0	0.0		
001095100	不動産部門	残業時間	0.0	0.0		
001095100	不動産部門	移動時間	0.0	0.0		
001095100	不動産部門	当月時間当り	0.0	0.0		
001095100	不動産部門	人員	0.0	0.0		
