組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
310A10500	アグリコ	総受注高	362118938.0	362000000.0	100.0	111.8
310A10500	アグリコ	総売上高	362118938.0	362000000.0	100.0	111.8
310A10500	アグリコ	売上高	369704722.0	369900000.0	99.9	111.2
310A10500	アグリコ	売上値引	-7585784.0	-7900000.0		
310A10500	アグリコ	売上原価	312233009.0	312000000.0	100.0	111.3
310A10500	アグリコ	総収益	49885929.0	50000000.0	99.7	115.1
310A10500	アグリコ	経費合計	23008175.0	22843148.0	100.7	108.6
310A10500	アグリコ	減価償却費	0.0	0.0		
310A10500	アグリコ	車両費	1425596.0	1433820.0	99.4	169.4
310A10500	アグリコ	旅費交通費	410819.0	497000.0	82.6	81.8
310A10500	アグリコ	荷造運搬費	1777746.0	1729500.0	102.7	91.5
310A10500	アグリコ	通信費	175444.0	174400.0	100.5	81.8
310A10500	アグリコ	水道光熱費	0.0	0.0		
310A10500	アグリコ	事務用品費	476696.0	200260.0	238.0	101.9
310A10500	アグリコ	消耗品費	21400.0	22900.0	93.4	109.9
310A10500	アグリコ	廃棄物処理料	905.0	0.0		
310A10500	アグリコ	広告宣伝費	153300.0	183300.0	83.6	81.1
310A10500	アグリコ	接待交際費	36000.0	18000.0	200.0	240.0
310A10500	アグリコ	賃借料	600000.0	600000.0	100.0	100.0
310A10500	アグリコ	賃貸料収入	0.0	0.0		
310A10500	アグリコ	修繕費	0.0	0.0		
310A10500	アグリコ	支払リース料	19000.0	19000.0	100.0	4.3
310A10500	アグリコ	保険料	109780.0	109780.0	100.0	39.3
310A10500	アグリコ	支払報酬	0.0	0.0		
310A10500	アグリコ	販売手数料	0.0	0.0		
310A10500	アグリコ	支払手数料	1059049.0	973000.0	108.8	72.4
310A10500	アグリコ	診断料	0.0	0.0		
310A10500	アグリコ	諸会費	23000.0	23000.0	100.0	100.0
310A10500	アグリコ	会議費	0.0	0.0		
310A10500	アグリコ	寄付金	0.0	0.0		
310A10500	アグリコ	租税公課	52000.0	58400.0	89.0	58.6
310A10500	アグリコ	業務委託費	12360000.0	0.0		
310A10500	アグリコ	業務受託収入	0.0	0.0		
310A10500	アグリコ	システム管理料	0.0	0.0		
310A10500	アグリコ	情報機器利用料	934382.0	904800.0	103.2	125.4
310A10500	アグリコ	貸倒金	656965.0	656965.0	100.0	
310A10500	アグリコ	雑費	319519.0	318860.0	100.2	100.2
310A10500	アグリコ	福利消耗品費	0.0	0.0		
310A10500	アグリコ	教育研修費	0.0	0.0		
310A10500	アグリコ	廃棄損・減耗損	0.0	0.0		
310A10500	アグリコ	雑給	104000.0	72000.0	144.4	75.0
310A10500	アグリコ	社内金利（固定資産）	0.0	0.0		
310A10500	アグリコ	社内金利（売掛金）	1776574.0	1972163.0	90.0	
310A10500	アグリコ	部門共通（経費）	0.0	0.0		
310A10500	アグリコ	グループ共通	516000.0	12876000.0	4.0	4.0
310A10500	アグリコ	差引収益	26877754.0	27156852.0	98.9	121.4
310A10500	アグリコ	差引比率	7.4	7.5	98.6	108.8
310A10500	アグリコ	総時間	6116.75	6149.0	99.4	85.4
310A10500	アグリコ	定時間	5783.0	5808.0	99.5	86.1
310A10500	アグリコ	残業時間	353.75	341.0	103.7	78.5
310A10500	アグリコ	移動時間	-20.0	0.0		
310A10500	アグリコ	部門共通（時間）	0.0	0.0		
310A10500	アグリコ	当月時間当り	4394.1	4416.4	99.4	142.1
310A10500	アグリコ	人員	3.0	3.0	100.0	75.0
