組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
310A10500	アグリコ	総受注高	365753707.0	362000000.0	101.0	112.9
310A10500	アグリコ	総売上高	365753707.0	362000000.0	101.0	112.9
310A10500	アグリコ	売上高	373268943.0	369900000.0	100.9	112.3
310A10500	アグリコ	売上値引	-7515236.0	-7900000.0		
310A10500	アグリコ	売上原価	315043781.0	312000000.0	100.9	112.3
310A10500	アグリコ	総収益	50709926.0	50000000.0	101.4	117.0
310A10500	アグリコ	経費合計	24446304.0	22843148.0	107.0	115.4
310A10500	アグリコ	減価償却費	159434.0	0.0		
310A10500	アグリコ	車両費	1417829.0	1433820.0	98.8	168.5
310A10500	アグリコ	旅費交通費	460819.0	497000.0	92.7	91.8
310A10500	アグリコ	荷造運搬費	1729820.0	1729500.0	100.0	89.1
310A10500	アグリコ	通信費	174005.0	174400.0	99.7	81.1
310A10500	アグリコ	水道光熱費	0.0	0.0		
310A10500	アグリコ	事務用品費	475937.0	200260.0	237.6	101.7
310A10500	アグリコ	消耗品費	21400.0	22900.0	93.4	109.9
310A10500	アグリコ	廃棄物処理料	905.0	0.0		
310A10500	アグリコ	広告宣伝費	183300.0	183300.0	100.0	97.0
310A10500	アグリコ	接待交際費	18000.0	18000.0	100.0	120.0
310A10500	アグリコ	賃借料	600000.0	600000.0	100.0	100.0
310A10500	アグリコ	賃貸料収入	0.0	0.0		
310A10500	アグリコ	修繕費	0.0	0.0		
310A10500	アグリコ	支払リース料	19000.0	19000.0	100.0	4.3
310A10500	アグリコ	保険料	109780.0	109780.0	100.0	39.3
310A10500	アグリコ	支払報酬	0.0	0.0		
310A10500	アグリコ	販売手数料	0.0	0.0		
310A10500	アグリコ	支払手数料	1027648.0	973000.0	105.6	70.2
310A10500	アグリコ	診断料	0.0	0.0		
310A10500	アグリコ	諸会費	23000.0	23000.0	100.0	100.0
310A10500	アグリコ	会議費	0.0	0.0		
310A10500	アグリコ	寄付金	0.0	0.0		
310A10500	アグリコ	租税公課	57400.0	58400.0	98.2	64.7
310A10500	アグリコ	業務委託費	2050000.0	0.0		
310A10500	アグリコ	業務受託収入	0.0	0.0		
310A10500	アグリコ	システム管理料	0.0	0.0		
310A10500	アグリコ	情報機器利用料	909730.0	904800.0	100.5	122.1
310A10500	アグリコ	貸倒金	656965.0	656965.0	100.0	
310A10500	アグリコ	雑費	318860.0	318860.0	100.0	100.0
310A10500	アグリコ	福利消耗品費	0.0	0.0		
310A10500	アグリコ	教育研修費	0.0	0.0		
310A10500	アグリコ	廃棄損・減耗損	0.0	0.0		
310A10500	アグリコ	雑給	66000.0	72000.0	91.6	47.6
310A10500	アグリコ	社内金利（固定資産）	0.0	0.0		
310A10500	アグリコ	社内金利（売掛金）	2077472.0	1972163.0	105.3	
310A10500	アグリコ	部門共通（経費）	0.0	0.0		
310A10500	アグリコ	グループ共通	11889000.0	12876000.0	92.3	92.2
310A10500	アグリコ	差引収益	26263622.0	27156852.0	96.7	118.6
310A10500	アグリコ	差引比率	7.1	7.5	94.6	104.4
310A10500	アグリコ	総時間	6119.5	6149.0	99.5	85.4
310A10500	アグリコ	定時間	5766.0	5808.0	99.2	85.9
310A10500	アグリコ	残業時間	353.5	341.0	103.6	78.5
310A10500	アグリコ	移動時間	0.0	0.0		
310A10500	アグリコ	部門共通（時間）	0.0	0.0		
310A10500	アグリコ	当月時間当り	4291.7	4416.4	97.1	138.8
310A10500	アグリコ	人員	3.0	3.0	100.0	75.0
013000000	㈱アグリコ	総受注高	439770126.0	440000000.0	99.9	135.8
013000000	㈱アグリコ	総売上高	439770126.0	440000000.0	99.9	135.8
013000000	㈱アグリコ	売上高	447292952.0	447900000.0	99.8	134.6
013000000	㈱アグリコ	売上値引	-7522826.0	-7900000.0		
013000000	㈱アグリコ	売上原価	366201473.0	366000000.0	100.0	130.6
013000000	㈱アグリコ	総収益	73568653.0	74000000.0	99.4	169.8
013000000	㈱アグリコ	経費合計	44100758.0	44005293.0	100.2	208.3
