組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
015000000	イノチオ・スズキヤングプランツ㈱	総受注高	57156900.0	56300000.0	101.5	79.7
015000000	イノチオ・スズキヤングプランツ㈱	総売上高	56821900.0	56300000.0	100.9	79.2
015000000	イノチオ・スズキヤングプランツ㈱	苗売上	56301340.0	55965000.0	100.6	79.8
015000000	イノチオ・スズキヤングプランツ㈱	その他の売上	520560.0	335000.0	155.3	44.1
015000000	イノチオ・スズキヤングプランツ㈱	経費合計	21841262.0	22093308.0	98.8	104.4
015000000	イノチオ・スズキヤングプランツ㈱	種苗費	0.0	0.0		
015000000	イノチオ・スズキヤングプランツ㈱	肥料費	1581660.0	1300000.0	121.6	123.1
015000000	イノチオ・スズキヤングプランツ㈱	培土費用	837700.0	1572000.0	53.2	65.3
015000000	イノチオ・スズキヤングプランツ㈱	農薬衛生費	1443760.0	1550000.0	93.1	107.9
015000000	イノチオ・スズキヤングプランツ㈱	農具費	1375683.0	1369000.0	100.4	62.5
015000000	イノチオ・スズキヤングプランツ㈱	諸材料費	0.0	0.0		0.0
015000000	イノチオ・スズキヤングプランツ㈱	その他仕入高	0.0	0.0		
015000000	イノチオ・スズキヤングプランツ㈱	減価償却費	2854576.0	2854576.0	100.0	104.5
015000000	イノチオ・スズキヤングプランツ㈱	車両費	406064.0	405200.0	100.2	103.7
015000000	イノチオ・スズキヤングプランツ㈱	旅費交通費	0.0	0.0		0.0
015000000	イノチオ・スズキヤングプランツ㈱	荷造運搬費	119840.0	133000.0	90.1	203.4
015000000	イノチオ・スズキヤングプランツ㈱	通信費	129288.0	126972.0	101.8	135.1
015000000	イノチオ・スズキヤングプランツ㈱	水道光熱費	4382339.0	4391400.0	99.7	102.4
015000000	イノチオ・スズキヤングプランツ㈱	動力費	0.0	0.0		
015000000	イノチオ・スズキヤングプランツ㈱	燃料費	7560000.0	7000000.0	108.0	150.0
015000000	イノチオ・スズキヤングプランツ㈱	事務用品費	51813.0	60000.0	86.3	33.2
015000000	イノチオ・スズキヤングプランツ㈱	消耗品費	174594.0	190000.0	91.8	108.1
015000000	イノチオ・スズキヤングプランツ㈱	廃棄物処理料	0.0	0.0		
015000000	イノチオ・スズキヤングプランツ㈱	広告宣伝費	0.0	0.0		
015000000	イノチオ・スズキヤングプランツ㈱	接待交際費	0.0	0.0		
015000000	イノチオ・スズキヤングプランツ㈱	研究開発費	0.0	0.0		
015000000	イノチオ・スズキヤングプランツ㈱	クレーム費	0.0	0.0		
015000000	イノチオ・スズキヤングプランツ㈱	賃借料	0.0	0.0		
015000000	イノチオ・スズキヤングプランツ㈱	賃貸料収入	0.0	0.0		
015000000	イノチオ・スズキヤングプランツ㈱	修繕費	900848.0	1200000.0	75.0	38.8
015000000	イノチオ・スズキヤングプランツ㈱	支払リース料	0.0	0.0		
015000000	イノチオ・スズキヤングプランツ㈱	保険料	273066.0	324000.0	84.2	164.1
015000000	イノチオ・スズキヤングプランツ㈱	支払報酬	516200.0	511000.0	101.0	101.3
