組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
310A10400	営農支援課	総受注高	0.0	0.0		
310A10400	営農支援課	総売上高	0.0	0.0		
310A10400	営農支援課	売上高	0.0	0.0		
310A10400	営農支援課	売上値引	0.0	0.0		
310A10400	営農支援課	売上原価	0.0	0.0		
310A10400	営農支援課	総収益	0.0	0.0		
310A10400	営農支援課	経費合計	0.0	0.0		
310A10400	営農支援課	減価償却費	547601.0	536299.0	102.1	116.5
310A10400	営農支援課	車両費	478189.0	488260.0	97.9	215.0
310A10400	営農支援課	旅費交通費	16818.0	21000.0	80.0	
310A10400	営農支援課	荷造運搬費	0.0	0.0		
310A10400	営農支援課	通信費	206174.0	209844.0	98.2	98.9
310A10400	営農支援課	水道光熱費	130103.0	131813.0	98.7	104.1
310A10400	営農支援課	事務用品費	18739.0	20432.0	91.7	100.5
310A10400	営農支援課	消耗品費	8080.0	8726.0	92.5	8.5
310A10400	営農支援課	廃棄物処理料	29713.0	30105.0	98.6	
310A10400	営農支援課	広告宣伝費	0.0	0.0		0.0
310A10400	営農支援課	接待交際費	30730.0	33455.0	91.8	66.7
310A10400	営農支援課	賃借料	43632.0	43632.0	100.0	103.0
310A10400	営農支援課	賃貸料収入	0.0	0.0		
310A10400	営農支援課	修繕費	0.0	0.0		0.0
310A10400	営農支援課	支払リース料	10402.0	10399.0	100.0	5.6
310A10400	営農支援課	保険料	138320.0	138320.0	100.0	64.2
310A10400	営農支援課	支払報酬	0.0	0.0		
310A10400	営農支援課	販売手数料	0.0	0.0		
310A10400	営農支援課	支払手数料	115228.0	115025.0	100.1	77.8
310A10400	営農支援課	診断料	0.0	0.0		
310A10400	営農支援課	諸会費	1606.0	1606.0	100.0	101.1
310A10400	営農支援課	会議費	4545.0	4545.0	100.0	98.0
310A10400	営農支援課	寄付金	0.0	0.0		
310A10400	営農支援課	租税公課	0.0	0.0		
310A10400	営農支援課	業務委託費	0.0	0.0		
310A10400	営農支援課	業務受託収入	0.0	0.0		
310A10400	営農支援課	システム管理料	0.0	0.0		
310A10400	営農支援課	情報機器利用料	226200.0	226200.0	100.0	113.8
310A10400	営農支援課	貸倒金	0.0	0.0		
310A10400	営農支援課	雑費	8056.0	8726.0	92.3	20.2
310A10400	営農支援課	福利消耗品費	686.0	0.0		
310A10400	営農支援課	教育研修費	4457.0	12513.0	35.6	
310A10400	営農支援課	廃棄損・減耗損	0.0	0.0		
310A10400	営農支援課	雑給	0.0	0.0		
310A10400	営農支援課	社内金利（固定資産）	86193.0	85190.0	101.1	
310A10400	営農支援課	社内金利（売掛金）	0.0	0.0		
310A10400	営農支援課	部門共通（経費）	-2283072.0	-2303690.0		
310A10400	営農支援課	グループ共通	177600.0	177600.0	100.0	125.4
310A10400	営農支援課	差引収益	0.0	0.0		
310A10400	営農支援課	差引比率	0.0	0.0		
310A10400	営農支援課	総時間	0.0	0.0		
310A10400	営農支援課	定時間	1965.25	1984.0	99.0	103.6
310A10400	営農支援課	残業時間	82.5	84.0	98.2	108.1
310A10400	営農支援課	移動時間	0.0	0.0		
310A10400	営農支援課	部門共通（時間）	-2047.75	-2068.0		
310A10400	営農支援課	当月時間当り	0.0	0.0		
310A10400	営農支援課	人員	1.0	1.0	100.0	100.0
