組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
310A60400	総務部	総受注高	0.0	0.0		
310A60400	総務部	総売上高	0.0	0.0		
310A60400	総務部	売上高	0.0	0.0		
310A60400	総務部	売上値引	0.0	0.0		
310A60400	総務部	売上原価	0.0	0.0		
310A60400	総務部	総収益	0.0	0.0		
310A60400	総務部	経費合計	0.0	0.0		
310A60400	総務部	減価償却費	36511.0	37500.0	97.3	100.9
310A60400	総務部	車両費	195980.0	191521.0	102.3	536.7
310A60400	総務部	旅費交通費	3055.0	0.0		38.2
310A60400	総務部	荷造運搬費	5540.0	6000.0	92.3	107.4
310A60400	総務部	通信費	550379.0	558557.0	98.5	106.1
310A60400	総務部	水道光熱費	520229.0	527247.0	98.6	104.1
310A60400	総務部	事務用品費	102163.0	103223.0	98.9	99.6
310A60400	総務部	消耗品費	40986.0	52896.0	77.4	68.3
310A60400	総務部	廃棄物処理料	115161.0	120416.0	95.6	
310A60400	総務部	広告宣伝費	0.0	0.0		0.0
310A60400	総務部	接待交際費	14409.0	31365.0	45.9	58.7
310A60400	総務部	賃借料	174528.0	174528.0	100.0	75.4
310A60400	総務部	賃貸料収入	0.0	0.0		
310A60400	総務部	修繕費	0.0	0.0		0.0
310A60400	総務部	支払リース料	41489.0	41592.0	99.7	8.9
310A60400	総務部	保険料	0.0	0.0		0.0
310A60400	総務部	支払報酬	0.0	0.0		
310A60400	総務部	販売手数料	0.0	0.0		
310A60400	総務部	支払手数料	194085.0	242323.0	80.0	77.9
310A60400	総務部	診断料	0.0	0.0		
310A60400	総務部	諸会費	2424.0	2424.0	100.0	103.0
310A60400	総務部	会議費	0.0	0.0		
310A60400	総務部	寄付金	0.0	0.0		
310A60400	総務部	租税公課	0.0	0.0		0.0
310A60400	総務部	業務委託費	0.0	0.0		
310A60400	総務部	業務受託収入	0.0	0.0		
310A60400	総務部	システム管理料	0.0	0.0		
310A60400	総務部	情報機器利用料	904800.0	904800.0	100.0	83.4
310A60400	総務部	貸倒金	0.0	0.0		
310A60400	総務部	雑費	56799.0	34896.0	162.7	14.5
310A60400	総務部	福利消耗品費	21745.0	0.0		
310A60400	総務部	教育研修費	24098.0	18043.0	133.5	
310A60400	総務部	廃棄損・減耗損	0.0	0.0		
310A60400	総務部	雑給	0.0	0.0		
310A60400	総務部	社内金利（固定資産）	28194.0	29958.0	94.1	
310A60400	総務部	社内金利（売掛金）	0.0	0.0		
310A60400	総務部	部門共通（経費）	-3742975.0	-3787689.0		
310A60400	総務部	グループ共通	710400.0	710400.0	100.0	124.8
310A60400	総務部	差引収益	0.0	0.0		
310A60400	総務部	差引比率	0.0	0.0		
310A60400	総務部	総時間	0.0	0.0		
310A60400	総務部	定時間	7545.25	7704.0	97.9	85.1
310A60400	総務部	残業時間	647.5	545.0	118.8	98.4
310A60400	総務部	移動時間	-11.5	0.0		
310A60400	総務部	部門共通（時間）	-8181.25	-8249.0		
310A60400	総務部	当月時間当り	0.0	0.0		
310A60400	総務部	人員	4.0	4.0	100.0	80.0
